zipcode,country,state,state_full,county,latitude-zip,longitude-zip,nearest-airport,latitude-air,longitude-air,distance
24042,US,VA,Virginia,Roanoke (city),37.2717,-79.9392,KRDU,35.877601623535156,-78.7874984741211,186.02636472768876
24043,US,VA,Virginia,Roanoke (city),37.2692,-79.9399,KRDU,35.877601623535156,-78.7874984741211,185.83031935766246
24050,US,VA,Virginia,Botetourt,37.5551,-79.7862,KRDU,35.877601623535156,-78.7874984741211,206.67831425683502
24053,US,VA,Virginia,Patrick,36.6139,-80.5093,KCLT,35.2140007019043,-80.94309997558594,160.48851581692898
24054,US,VA,Virginia,Henry,36.6596,-79.712,KRDU,35.877601623535156,-78.7874984741211,120.12596657346701
24055,US,VA,Virginia,Henry,36.7534,-80.0055,KRDU,35.877601623535156,-78.7874984741211,146.2608297420605
24058,US,VA,Virginia,Pulaski,37.1982,-80.6151,KRDU,35.877601623535156,-78.7874984741211,219.58935144765042
24059,US,VA,Virginia,Roanoke,37.1549,-80.1215,KRDU,35.877601623535156,-78.7874984741211,185.42535620321019
24060,US,VA,Virginia,Montgomery,37.2563,-80.4347,KRDU,35.877601623535156,-78.7874984741211,212.46054129563896
24061,US,VA,Virginia,Montgomery,37.1791,-80.3515,KRDU,35.877601623535156,-78.7874984741211,201.17253920819672
24062,US,VA,Virginia,Montgomery,37.2296,-80.4139,KRDU,35.877601623535156,-78.7874984741211,209.0512270393752
24063,US,VA,Virginia,Montgomery,37.2296,-80.4139,KRDU,35.877601623535156,-78.7874984741211,209.0512270393752
24064,US,VA,Virginia,Botetourt,37.3885,-79.8172,KRDU,35.877601623535156,-78.7874984741211,191.48422528968302
24065,US,VA,Virginia,Franklin,37.1331,-79.9556,KRDU,35.877601623535156,-78.7874984741211,174.32250225277897
24066,US,VA,Virginia,Botetourt,37.5479,-79.7123,KRDU,35.877601623535156,-78.7874984741211,203.19800158657702
24067,US,VA,Virginia,Franklin,37.0285,-80.0496,KRDU,35.877601623535156,-78.7874984741211,170.64050759582872
24068,US,VA,Virginia,Montgomery,37.1548,-80.4184,KRDU,35.877601623535156,-78.7874984741211,203.49090902049733
24069,US,VA,Virginia,Pittsylvania,36.5927,-79.6574,KRDU,35.877601623535156,-78.7874984741211,111.39897140176019
24070,US,VA,Virginia,Roanoke,37.3696,-80.1284,KRDU,35.877601623535156,-78.7874984741211,204.5505492377792
24072,US,VA,Virginia,Floyd,37.0446,-80.22800000000002,KRDU,35.877601623535156,-78.7874984741211,182.84548579064221
24073,US,VA,Virginia,Montgomery,37.1353,-80.4188,KRDU,35.877601623535156,-78.7874984741211,202.022825010808
24076,US,VA,Virginia,Patrick,36.5896,-80.4184,KCLT,35.2140007019043,-80.94309997558594,160.0933551503378
24077,US,VA,Virginia,Botetourt,37.3651,-79.9056,KRDU,35.877601623535156,-78.7874984741211,193.16636952417537
24078,US,VA,Virginia,Henry,36.7238,-79.9142,KRDU,35.877601623535156,-78.7874984741211,138.01284278354558
24079,US,VA,Virginia,Floyd,37.0556,-80.1525,KRDU,35.877601623535156,-78.7874984741211,179.04036667857414
24082,US,VA,Virginia,Patrick,36.6211,-80.1298,KRDU,35.877601623535156,-78.7874984741211,146.02295197452403
24083,US,VA,Virginia,Botetourt,37.4125,-79.9211,KRDU,35.877601623535156,-78.7874984741211,198.3837468877197
24084,US,VA,Virginia,Pulaski,37.1057,-80.6853,KCLT,35.2140007019043,-80.94309997558594,211.61649725226403
24085,US,VA,Virginia,Botetourt,37.6667,-79.8172,KRDU,35.877601623535156,-78.7874984741211,219.0578636633201
24086,US,VA,Virginia,Giles,37.2743,-80.6343,KRDU,35.877601623535156,-78.7874984741211,226.5216971564484
24087,US,VA,Virginia,Roanoke,37.2165,-80.2325,KRDU,35.877601623535156,-78.7874984741211,197.04029736581214
24088,US,VA,Virginia,Franklin,36.9168,-80.0349,KRDU,35.877601623535156,-78.7874984741211,160.6752021033355
24089,US,VA,Virginia,Henry,36.7064,-79.9652,KRDU,35.877601623535156,-78.7874984741211,140.11935827584048
24090,US,VA,Virginia,Botetourt,37.4911,-79.8511,KRDU,35.877601623535156,-78.7874984741211,202.93466585512246
24091,US,VA,Virginia,Floyd,36.8957,-80.3275,KRDU,35.877601623535156,-78.7874984741211,178.37575540765727
24092,US,VA,Virginia,Franklin,36.9859,-79.773,KRDU,35.877601623535156,-78.7874984741211,151.5256156254637
24093,US,VA,Virginia,Giles,37.3669,-80.8634,KCLT,35.2140007019043,-80.94309997558594,239.49799588924472
24095,US,VA,Virginia,Bedford,37.2123,-79.7429,KRDU,35.877601623535156,-78.7874984741211,171.2002062056807
24101,US,VA,Virginia,Bedford,37.2145,-79.8127,KRDU,35.877601623535156,-78.7874984741211,174.59966373936982
24102,US,VA,Virginia,Franklin,36.8393,-79.9904,KRDU,35.877601623535156,-78.7874984741211,151.7809786411805
24104,US,VA,Virginia,Bedford,37.1442,-79.491,KRDU,35.877601623535156,-78.7874984741211,154.2347078155302
24105,US,VA,Virginia,Floyd,36.899,-80.5757,KCLT,35.2140007019043,-80.94309997558594,190.25145777055482
24111,US,VA,Virginia,Montgomery,37.1742,-80.3957,KRDU,35.877601623535156,-78.7874984741211,203.55232915182685
24112,US,VA,Virginia,Martinsville (city),36.6871,-79.8691,KRDU,35.877601623535156,-78.7874984741211,132.29110496876672
24113,US,VA,Virginia,Martinsville (city),36.6796,-79.8652,KRDU,35.877601623535156,-78.7874984741211,131.47146576163976
24114,US,VA,Virginia,Martinsville (city),36.6796,-79.8652,KRDU,35.877601623535156,-78.7874984741211,131.47146576163976
24115,US,VA,Virginia,Martinsville (city),36.6796,-79.8652,KRDU,35.877601623535156,-78.7874984741211,131.47146576163976
24120,US,VA,Virginia,Patrick,36.725,-80.4022,KRDU,35.877601623535156,-78.7874984741211,172.67024055327647
24121,US,VA,Virginia,Bedford,37.1784,-79.6521,KRDU,35.877601623535156,-78.7874984741211,163.97824828691637
24122,US,VA,Virginia,Bedford,37.407,-79.7175,KRDU,35.877601623535156,-78.7874984741211,189.2209426741386
24124,US,VA,Virginia,Giles,37.3198,-80.8548,KCLT,35.2140007019043,-80.94309997558594,234.28794066997403
24126,US,VA,Virginia,Pulaski,37.0692,-80.6891,KCLT,35.2140007019043,-80.94309997558594,207.54554217306838
24127,US,VA,Virginia,Craig,37.4871,-80.1704,KRDU,35.877601623535156,-78.7874984741211,217.33413476133632
24128,US,VA,Virginia,Giles,37.3069,-80.5099,KRDU,35.877601623535156,-78.7874984741211,221.1361444242893
24129,US,VA,Virginia,Pulaski,37.0964,-80.6081,KCLT,35.2140007019043,-80.94309997558594,211.4626041730709
24130,US,VA,Virginia,Botetourt,37.6165,-79.9837,KRDU,35.877601623535156,-78.7874984741211,220.77962890447878
24131,US,VA,Virginia,Craig,37.5745,-80.2544,KRDU,35.877601623535156,-78.7874984741211,229.544192232172
24132,US,VA,Virginia,Pulaski,37.2048,-80.6205,KRDU,35.877601623535156,-78.7874984741211,220.43362970722458
24133,US,VA,Virginia,Patrick,36.6744,-80.1388,KRDU,35.877601623535156,-78.7874984741211,150.0753659978593
24134,US,VA,Virginia,Giles,37.3041,-80.7267,KCLT,35.2140007019043,-80.94309997558594,233.21673384620468
24136,US,VA,Virginia,Giles,37.3312,-80.5975,KRDU,35.877601623535156,-78.7874984741211,228.5277936042548
24137,US,VA,Virginia,Franklin,36.9201,-79.6645,KRDU,35.877601623535156,-78.7874984741211,139.9936206176173
24138,US,VA,Virginia,Montgomery,37.0565,-80.3229,KRDU,35.877601623535156,-78.7874984741211,189.82375621282833
24139,US,VA,Virginia,Pittsylvania,36.9716,-79.4794,KRDU,35.877601623535156,-78.7874984741211,136.49174383363666
