zipcode,country,state,state_full,county,latitude-zip,longitude-zip,nearest-airport,latitude-air,longitude-air,distance
64146,US,MO,Missouri,Jackson,38.8973,-94.5764,KMCI,39.2976,-94.713898,46.06566987717533
64147,US,MO,Missouri,Jackson,38.8549,-94.5568,KMCI,39.2976,-94.713898,51.059716136517565
64148,US,MO,Missouri,Jackson,39.0997,-94.5786,KMCI,39.2976,-94.713898,24.903193770688464
64149,US,MO,Missouri,Jackson,38.8606,-94.4636,KMCI,39.2976,-94.713898,53.17874426898972
64150,US,MO,Missouri,Platte,39.1776,-94.6321,KMCI,39.2976,-94.713898,15.088888255886914
64151,US,MO,Missouri,Platte,39.2127,-94.6383,KMCI,39.2976,-94.713898,11.466959190447076
64152,US,MO,Missouri,Platte,39.2176,-94.7238,KMCI,39.2976,-94.713898,8.936355151806321
64153,US,MO,Missouri,Platte,39.2627,-94.697,KMCI,39.2976,-94.713898,4.144302087179802
64154,US,MO,Missouri,Platte,39.2547,-94.6354,KMCI,39.2976,-94.713898,8.27103963212058
64155,US,MO,Missouri,Clay,39.2758,-94.5704,KMCI,39.2976,-94.713898,12.585580137715366
64156,US,MO,Missouri,Clay,39.2901,-94.5336,KMCI,39.2976,-94.713898,15.537877995529447
64157,US,MO,Missouri,Clay,39.2767,-94.4595,KMCI,39.2976,-94.713898,22.017215962732774
64158,US,MO,Missouri,Clay,39.2284,-94.472,KMCI,39.2976,-94.713898,22.201672757937885
64161,US,MO,Missouri,Clay,39.1661,-94.464,KMCI,39.2976,-94.713898,26.020855727420813
64162,US,MO,Missouri,Clay,39.1562,-94.4797,KMCI,39.2976,-94.713898,25.57663326226816
64163,US,MO,Missouri,Platte,39.3402,-94.6908,KMCI,39.2976,-94.713898,5.136764016089923
64164,US,MO,Missouri,Platte,39.3426,-94.6446,KMCI,39.2976,-94.713898,7.782890745570587
64165,US,MO,Missouri,Clay,39.3113,-94.5431,KMCI,39.2976,-94.713898,14.77448275801287
64166,US,MO,Missouri,Clay,39.3294,-94.5199,KMCI,39.2976,-94.713898,17.06021101705577
64167,US,MO,Missouri,Clay,39.32,-94.4877,KMCI,39.2976,-94.713898,19.61997492043723
64168,US,MO,Missouri,Platte,39.3432,-94.8516,KMCI,39.2976,-94.713898,12.88500753841798
64170,US,MO,Missouri,Jackson,39.0997,-94.5786,KMCI,39.2976,-94.713898,24.903193770688464
64171,US,MO,Missouri,Jackson,39.0997,-94.5786,KMCI,39.2976,-94.713898,24.903193770688464
64179,US,MO,Missouri,Jackson,39.0997,-94.5786,KMCI,39.2976,-94.713898,24.903193770688464
64180,US,MO,Missouri,Jackson,39.0997,-94.5786,KMCI,39.2976,-94.713898,24.903193770688464
64184,US,MO,Missouri,Jackson,39.0997,-94.5786,KMCI,39.2976,-94.713898,24.903193770688464
64187,US,MO,Missouri,Jackson,39.0997,-94.5786,KMCI,39.2976,-94.713898,24.903193770688464
64188,US,MO,Missouri,Jackson,39.0997,-94.5786,KMCI,39.2976,-94.713898,24.903193770688464
64190,US,MO,Missouri,Platte,39.3432,-94.8516,KMCI,39.2976,-94.713898,12.88500753841798
64191,US,MO,Missouri,Jackson,39.0997,-94.5786,KMCI,39.2976,-94.713898,24.903193770688464
64195,US,MO,Missouri,Platte,39.3432,-94.8516,KMCI,39.2976,-94.713898,12.88500753841798
64196,US,MO,Missouri,Jackson,39.0997,-94.5786,KMCI,39.2976,-94.713898,24.903193770688464
64197,US,MO,Missouri,Jackson,39.0997,-94.5786,KMCI,39.2976,-94.713898,24.903193770688464
64198,US,MO,Missouri,Jackson,39.0997,-94.5786,KMCI,39.2976,-94.713898,24.903193770688464
64199,US,MO,Missouri,Jackson,39.0997,-94.5786,KMCI,39.2976,-94.713898,24.903193770688464
64401,US,MO,Missouri,Buchanan,39.6662,-94.717,KMCI,39.2976,-94.713898,40.98731455545766
64402,US,MO,Missouri,Gentry,40.2513,-94.327,KMCI,39.2976,-94.713898,111.08138918800591
64420,US,MO,Missouri,Worth,40.4855,-94.2886,KDSM,41.534,-93.663101,127.85556142947338
64421,US,MO,Missouri,Andrew,39.9092,-94.9113,KMCI,39.2976,-94.713898,70.07806330699339
64422,US,MO,Missouri,DeKalb,39.8837,-94.5136,KMCI,39.2976,-94.713898,67.3934318732679
64423,US,MO,Missouri,Nodaway,40.1862,-94.8056,KMCI,39.2976,-94.713898,99.1183918908044
64424,US,MO,Missouri,Harrison,40.2601,-94.0189,KMCI,39.2976,-94.713898,122.39869663835984
64426,US,MO,Missouri,Harrison,40.5024,-93.8954,KDSM,41.534,-93.663101,116.3523730613629
64427,US,MO,Missouri,Andrew,40.1007,-94.8847,KMCI,39.2976,-94.713898,90.48828748162646
64428,US,MO,Missouri,Nodaway,40.4475,-95.063,KOMA,41.3032,-95.894096,118.05049835041136
64429,US,MO,Missouri,Clinton,39.7309,-94.2437,KMCI,39.2976,-94.713898,62.835307478808765
64430,US,MO,Missouri,DeKalb,39.8137,-94.5421,KMCI,39.2976,-94.713898,59.247573974203775
64431,US,MO,Missouri,Nodaway,40.5175,-95.0055,KOMA,41.3032,-95.894096,114.9277958925146
64432,US,MO,Missouri,Nodaway,40.2635,-94.6687,KMCI,39.2976,-94.713898,107.47259856583592
64433,US,MO,Missouri,Nodaway,40.2428,-94.6869,KMCI,39.2976,-94.713898,105.1267685908143
64434,US,MO,Missouri,Nodaway,40.2659,-94.6915,KMCI,39.2976,-94.713898,107.687056159645
64436,US,MO,Missouri,Andrew,39.8555,-94.6977,KMCI,39.2976,-94.713898,62.05118098058961
64437,US,MO,Missouri,Holt,40.1267,-95.3291,KMCI,39.2976,-94.713898,106.15255860942312
